[44, 62, 54]
[42, 60, 53]
[42, 60, 53]
[42, 60, 53]
[42, 59, 52]
[43, 61, 54]
[43, 59, 54]
[36, 55, 50]
[33, 59, 41]
[33, 51, 41]
[33, 48, 41]
[35, 49, 41]
[34, 49, 42]
[36, 49, 42]
[33, 47, 40]
[37, 53, 43]
[38, 54, 42]
[37, 52, 44]
[33, 45, 41]
[35, 50, 41]
[33, 49, 42]
[35, 48, 39]
[31, 43, 41]
[43, 53, 41]
[37, 56, 50]
[41, 60, 52]
[39, 60, 55]
[39, 56, 55]
[41, 60, 54]
[38, 54, 52]
[41, 60, 54]
[38, 57, 51]
[50, 67, 54]
[38, 49, 40]
[35, 52, 44]
[33, 44, 43]
[36, 47, 44]
[34, 49, 44]
[34, 45, 39]
[31, 43, 41]
[35, 47, 44]
[42, 63, 55]
[40, 59, 52]
[39, 58, 52]
[42, 59, 54]
[41, 61, 52]
[37, 57, 50]
[38, 55, 50]
[39, 55, 50]
[41, 58, 51]
[41, 59, 53]
[45, 59, 50]
[37, 50, 42]
[33, 44, 41]
[32, 44, 41]
[33, 45, 42]
[32, 44, 41]
[33, 46, 41]
