[50, 150, 25]
[44, 151, 21]
[43, 150, 22]
[45, 153, 22]
[45, 152, 23]
[46, 154, 24]
[46, 152, 21]
[49, 154, 23]
[49, 156, 24]
[48, 152, 24]
[48, 146, 24]
[48, 152, 25]
[49, 154, 24]
[48, 146, 23]
[48, 142, 24]
[49, 147, 24]
[46, 154, 21]
[42, 149, 20]
[42, 145, 20]
[38, 137, 18]
[38, 139, 20]
[35, 136, 17]
[40, 146, 19]
[39, 144, 19]
[45, 154, 22]
[44, 154, 22]
[44, 155, 21]
[42, 150, 21]
[42, 148, 20]
[44, 152, 22]
[45, 152, 22]
[41, 147, 22]
[42, 148, 21]
[43, 150, 21]
[43, 150, 23]
[41, 149, 20]
[46, 156, 22]
[45, 156, 22]
[39, 145, 20]
[41, 146, 21]
[38, 136, 21]
[45, 149, 23]
[42, 147, 23]
[42, 145, 21]
[40, 143, 20]
[42, 146, 19]
[47, 157, 20]
[46, 153, 22]
[48, 153, 23]
[45, 151, 21]
[47, 153, 21]
[42, 153, 21]
[43, 147, 21]
[45, 149, 21]
[36, 131, 18]
[42, 145, 20]
[40, 139, 18]
[38, 133, 19]
[42, 143, 21]
[38, 132, 18]
[36, 130, 18]
[36, 131, 16]
[38, 138, 19]
[39, 139, 18]
[43, 146, 20]
[46, 151, 22]
[42, 146, 21]
[43, 146, 22]
[37, 136, 18]
[38, 138, 21]
[39, 141, 19]
[40, 140, 19]
[41, 141, 22]
[40, 139, 19]
[37, 136, 19]
[37, 138, 18]
[43, 147, 20]
[48, 152, 24]
[49, 151, 23]
[48, 152, 23]
[49, 150, 25]
[46, 141, 22]
[46, 147, 22]
[47, 147, 21]
[48, 147, 23]
[46, 145, 22]
[49, 149, 23]
[46, 146, 21]
[47, 144, 22]
[45, 145, 20]
[46, 141, 21]
[44, 136, 22]
[45, 133, 21]
[44, 127, 22]
[43, 122, 21]
