[105, 15, 24]
[176, 27, 36]
[176, 27, 35]
[176, 27, 36]
[176, 27, 35]
[174, 26, 34]
[179, 27, 34]
[176, 27, 34]
[160, 26, 32]
[182, 29, 37]
[182, 30, 38]
[184, 29, 38]
[181, 28, 36]
[183, 30, 38]
[179, 27, 37]
[183, 30, 39]
[182, 27, 37]
[186, 31, 38]
[191, 28, 38]
[199, 26, 39]
[202, 27, 37]
[203, 27, 40]
[193, 28, 38]
[186, 29, 38]
[198, 29, 39]
[202, 26, 39]
[204, 29, 41]
[197, 29, 40]
[184, 26, 37]
[181, 26, 35]
[189, 28, 38]
[180, 27, 38]
[188, 30, 40]
[202, 27, 42]
[201, 23, 39]
[201, 26, 40]
[203, 27, 40]
[196, 30, 40]
[182, 28, 38]
[143, 22, 31]
[150, 23, 32]
[174, 27, 36]
[137, 21, 28]
[148, 23, 30]
[155, 26, 34]
[182, 30, 38]
[179, 30, 37]
[179, 30, 37]
[180, 29, 37]
[180, 29, 37]
[191, 30, 39]
[199, 31, 40]
[196, 29, 38]
[188, 30, 39]
[189, 30, 38]
