[229, 38, 18]
[231, 41, 18]
[230, 39, 19]
[230, 39, 18]
[227, 40, 18]
[224, 39, 17]
[182, 36, 15]
[119, 22, 9]
[152, 23, 13]
[137, 22, 14]
[136, 23, 11]
[215, 36, 20]
[174, 33, 17]
[224, 37, 18]
[132, 20, 10]
[165, 31, 15]
[173, 31, 13]
[234, 39, 19]
[211, 35, 18]
[213, 35, 19]
[213, 36, 19]
[214, 36, 19]
[214, 37, 19]
[211, 33, 17]
[212, 34, 18]
[213, 35, 18]
[212, 35, 19]
[212, 33, 18]
[214, 36, 18]
[213, 36, 19]
[213, 35, 17]
[213, 36, 17]
[211, 34, 18]
[212, 35, 19]
[211, 34, 17]
[214, 37, 18]
[212, 36, 19]
[214, 37, 19]
[214, 37, 19]
